
日期	收盘	开盘	高	低	交易量	涨跌幅
2019年7月	180.48	179.64	183.34	177.73	-	-0.31%
2019年6月	181.04	175.81	183.29	172.02	-	3.24%
2019年5月	175.36	184.06	184.11	175.32	-	-4.82%
2019年4月	184.25	184.63	189.68	183.66	-	0.27%
2019年3月	183.75	183.02	185.88	178.70	-	0.55%
2019年2月	182.75	179.65	184.66	176.31	-	1.73%
2019年1月	179.64	169.44	182.25	168.26	-	5.80%
2018年12月	169.80	184.14	185.70	168.21	-	-6.57%
2018年11月	181.74	190.81	193.66	178.79	-	-4.83%
2018年10月	190.97	195.23	201.72	190.92	-	-2.15%
2018年9月	195.16	193.23	195.88	189.04	-	1.14%
2018年8月	192.96	193.02	195.28	186.72	-	-0.81%
2018年7月	194.53	199.59	199.74	189.97	-	-2.92%
2018年6月	200.39	202.70	202.90	192.52	-	-1.21%
2018年5月	202.84	201.07	206.95	200.31	-	0.43%
2018年4月	201.98	196.37	203.96	190.42	-	3.39%
2018年3月	195.36	192.97	197.92	192.19	-	0.73%
2018年2月	193.95	197.45	198.74	187.35	-	-1.74%
2018年1月	197.38	194.13	201.19	192.46	-	1.82%
2017年12月	193.86	190.20	194.05	182.98	-	2.48%
2017年11月	189.17	188.79	192.99	187.42	-	0.86%
2017年10月	187.56	181.46	187.80	180.31	-	2.44%
2017年9月	183.09	180.39	184.94	179.61	-	1.23%
2017年8月	180.86	182.39	182.55	174.68	-	-0.97%
2017年7月	182.64	175.00	182.69	171.43	-	4.50%
2017年6月	174.78	180.08	180.11	166.48	-	-2.78%
2017年5月	179.77	181.71	186.35	176.68	-	-1.08%
2017年4月	181.73	186.26	188.51	179.72	-	-2.23%
2017年3月	185.88	191.13	191.39	181.55	-	-2.49%
2017年2月	190.62	192.87	194.77	189.18	-	-0.74%
2017年1月	192.04	193.57	196.36	189.94	-	-0.24%
2016年12月	192.51	190.29	194.91	189.43	-	1.69%
2016年11月	189.31	187.49	190.00	178.94	-	1.63%
2016年10月	186.28	186.23	191.35	184.84	-	-0.02%
2016年9月	186.32	180.47	187.30	178.01	-	3.39%
2016年8月	180.21	179.70	189.57	176.67	-	-0.44%
2016年7月	181.01	192.65	194.34	177.99	-	-6.00%
2016年6月	192.57	185.05	195.88	184.32	-	3.45%
2016年5月	186.15	184.51	187.68	176.86	-	0.83%
2016年4月	184.61	169.43	185.24	164.71	-	8.26%
2016年3月	170.52	164.13	178.68	162.13	-	4.49%
2016年2月	163.20	164.35	166.46	154.89	-	-2.13%
2016年1月	166.75	174.08	174.97	154.85	-	-5.33%
2015年12月	176.14	183.25	184.80	170.06	-	-3.51%
2015年11月	182.54	193.99	198.32	182.00	-	-6.68%
2015年10月	195.61	195.52	203.71	190.89	-	0.95%
2015年9月	193.76	200.63	200.73	191.17	-	-4.12%
2015年8月	202.09	201.17	202.45	185.13	-	-0.24%
2015年7月	202.57	225.56	226.21	202.30	-	-10.83%
2015年6月	227.17	222.36	229.33	219.33	-	1.79%
2015年5月	223.18	229.14	233.53	218.92	-	-2.75%
2015年4月	229.49	211.84	229.65	211.75	-	8.32%
2015年3月	211.86	222.45	224.53	206.81	-	-5.45%
2015年2月	224.08	220.63	229.57	218.26	-	2.39%
2015年1月	218.84	229.24	229.99	211.27	-	-4.84%
2014年12月	229.96	253.08	258.90	228.99	-	-9.60%
2014年11月	254.37	273.00	273.04	254.07	-	-6.47%
2014年10月	271.96	278.94	280.91	267.78	-	-2.37%
2014年9月	278.55	291.73	291.86	276.65	-	-4.85%
2014年8月	292.75	293.52	294.44	286.78	-	-0.57%
2014年7月	294.43	307.94	308.11	294.33	-	-4.47%
2014年6月	308.22	305.94	313.43	303.04	-	0.90%
2014年5月	305.48	308.19	309.12	304.30	-	-1.31%
2014年4月	309.53	304.38	312.68	300.50	-	1.60%
2014年3月	304.67	305.93	308.72	299.22	-	0.74%
2014年2月	302.43	283.41	304.02	283.25	-	6.75%
2014年1月	283.31	279.91	285.02	272.04	-	1.12%
2013年12月	280.17	274.43	284.68	274.21	-	1.92%
2013年11月	274.88	277.43	277.45	272.36	-	-1.07%
2013年10月	277.86	285.10	288.71	277.81	-	-2.69%
2013年9月	285.54	292.21	293.68	284.56	-	-1.93%
2013年8月	291.16	285.88	296.46	280.64	-	2.54%
2013年7月	283.94	276.76	292.00	276.67	-	3.02%
2013年6月	275.62	283.25	288.25	275.54	-	-2.21%
2013年5月	281.85	286.54	291.45	281.79	-	-2.18%
2013年4月	288.13	295.60	295.79	280.17	-	-2.79%
2013年3月	296.39	291.02	298.71	289.20	-	1.17%
2013年2月	292.95	304.13	305.82	292.32	-	-3.63%
2013年1月	303.99	297.22	304.77	292.93	-	3.04%
2012年12月	295.01	299.87	301.58	292.48	-	-1.33%
2012年11月	298.98	296.75	299.89	290.02	-	1.06%
2012年10月	295.85	309.40	312.17	295.03	-	-4.35%
2012年9月	309.30	310.52	321.36	302.45	-	-0.09%
2012年8月	309.59	299.74	309.88	294.48	-	3.37%
2012年7月	299.51	282.74	305.04	281.65	-	5.39%
2012年6月	284.19	269.21	284.33	266.78	-	4.11%
2012年5月	272.97	305.92	308.25	272.80	-	-10.78%
2012年4月	305.95	307.87	312.43	298.22	-	-0.81%
2012年3月	308.46	322.05	324.42	305.38	-	-4.33%
2012年2月	322.43	312.33	326.02	309.37	-	3.24%
2012年1月	312.31	309.10	319.35	306.83	-	2.30%
2011年12月	305.30	314.47	316.10	293.50	-	-2.71%
2011年11月	313.82	314.64	323.11	304.94	-	-1.88%
2011年10月	319.84	296.77	324.99	292.39	-	7.27%
2011年9月	298.15	341.33	343.27	297.85	-	-12.97%
2011年8月	342.57	343.86	345.50	315.40	-	0.14%
2011年7月	342.08	335.95	350.54	334.68	-	1.19%
2011年6月	338.05	350.22	352.06	326.74	-	-3.43%
2011年5月	350.06	367.84	370.72	332.92	-	-5.53%
2011年4月	370.56	359.16	370.71	357.19	-	3.10%
2011年3月	359.43	354.31	366.71	337.44	-	1.94%
2011年2月	352.58	340.65	353.87	335.10	-	3.27%
2011年1月	341.42	334.80	342.03	322.76	-	2.59%
2010年12月	332.80	304.36	333.67	303.87	-	10.41%
2010年11月	301.41	302.41	320.38	293.94	-	0.25%
2010年10月	300.67	288.08	301.98	283.53	-	4.81%
2010年9月	286.86	265.51	287.41	265.28	-	8.58%
2010年8月	264.19	274.35	280.69	260.22	-	-3.70%
2010年7月	274.35	258.52	274.42	253.48	-	6.12%
2010年6月	258.52	254.80	267.02	247.62	-	1.46%
2010年5月	254.80	277.71	278.88	247.25	-	-8.25%
2010年4月	277.71	273.34	280.83	272.68	-	1.60%
2010年3月	273.34	272.72	278.04	266.64	-	-0.52%
2010年2月	274.78	265.59	278.29	256.89	-	3.46%
2010年1月	265.59	289.34	293.78	265.42	-	-6.28%
2009年12月	283.38	277.40	285.74	267.35	-	2.16%
2009年11月	277.40	270.38	280.13	267.48	-	2.60%
2009年10月	270.38	259.39	285.18	252.55	-	4.24%
2009年9月	259.39	253.68	263.41	246.74	-	2.25%
2009年8月	253.68	257.45	269.18	251.90	-	-1.46%
2009年7月	257.45	249.96	257.45	229.80	-	3.00%
2009年6月	249.96	253.05	266.17	246.04	-	-1.22%
2009年5月	253.05	222.39	253.17	221.39	-	13.79%
2009年4月	222.39	220.40	229.05	215.18	-	0.90%
2009年3月	220.40	211.57	229.62	200.34	-	4.17%
2009年2月	211.57	220.37	226.84	200.16	-	-3.99%
2009年1月	220.37	229.54	244.31	215.32	-	-3.99%
2008年12月	229.54	244.94	244.94	208.58	-	-6.29%
2008年11月	244.94	268.39	278.46	230.19	-	-8.74%
2008年10月	268.39	345.53	346.06	253.85	-	-22.33%
2008年9月	345.53	391.43	391.43	337.44	-	-11.79%
2008年8月	391.71	416.40	421.70	379.07	-	-5.93%
2008年7月	416.40	462.74	473.97	407.97	-	-10.01%
2008年6月	462.74	422.17	467.60	416.27	-	9.61%
2008年5月	422.17	409.27	435.53	396.81	-	3.15%
2008年4月	409.27	386.89	422.91	380.42	-	5.78%
2008年3月	386.89	412.76	422.12	377.45	-	-6.27%
2008年2月	412.76	369.46	413.78	362.98	-	11.72%
2008年1月	369.46	358.71	370.96	349.05	-	3.00%
2007年12月	358.71	339.84	361.95	337.40	-	5.55%
2007年11月	339.84	351.01	367.05	329.66	-	-3.18%
2007年10月	351.01	333.67	351.53	323.19	-	5.20%
2007年9月	333.67	308.28	338.22	306.97	-	8.07%
2007年8月	308.76	324.10	324.30	288.67	-	-4.73%
2007年7月	324.10	315.74	326.84	313.48	-	2.65%
2007年6月	315.74	312.09	321.35	307.43	-	1.37%
2007年5月	311.46	312.71	316.77	306.80	-	-0.40%
