
日期	收盘	开盘	高	低	涨跌幅
2019年7月	3.193	3.315	3.315	3.178	-2.62%
2019年6月	3.279	3.320	3.324	3.243	-0.55%
2019年5月	3.297	3.400	3.415	3.265	-3.48%
2019年4月	3.416	3.140	3.480	3.114	11.09%
2019年3月	3.075	3.218	3.280	3.075	-4.15%
2019年2月	3.208	3.143	3.230	3.080	2.49%
2019年1月	3.130	3.280	3.280	3.091	-4.28%
2018年12月	3.270	3.420	3.443	3.268	-3.77%
2018年11月	3.398	3.562	3.588	3.350	-3.82%
2018年10月	3.533	3.640	3.668	3.525	-3.34%
2018年9月	3.655	3.650	3.727	3.605	1.53%
2018年8月	3.600	3.583	3.710	3.465	1.90%
2018年7月	3.533	3.550	3.615	3.444	-0.28%
2018年6月	3.543	3.666	3.722	3.534	-2.83%
2018年5月	3.646	3.700	3.780	3.621	-0.19%
2018年4月	3.653	3.800	3.800	3.520	-3.31%
2018年3月	3.778	3.860	3.975	3.733	-2.05%
2018年2月	3.857	3.986	3.990	3.847	-2.21%
2018年1月	3.944	3.950	4.120	3.881	0.74%
2017年12月	3.915	3.925	3.995	3.880	-0.05%
2017年11月	3.917	3.919	4.033	3.871	0.03%
2017年10月	3.916	3.700	3.917	3.630	7.64%
2017年9月	3.638	3.714	3.714	3.599	-1.01%
2017年8月	3.675	3.640	3.736	3.602	1.27%
2017年7月	3.629	3.580	3.643	3.553	1.43%
2017年6月	3.578	3.677	3.725	3.488	-2.51%
2017年5月	3.670	3.500	3.717	3.455	5.55%
2017年4月	3.477	3.334	3.519	3.280	5.05%
2017年3月	3.310	3.395	3.451	3.257	-1.43%
2017年2月	3.358	3.400	3.500	3.342	-0.15%
2017年1月	3.363	3.030	3.363	3.030	9.69%
2016年12月	3.066	2.948	3.401	2.948	4.18%
2016年11月	2.943	2.753	2.964	2.688	7.25%
2016年10月	2.744	2.780	2.780	2.601	-0.90%
2016年9月	2.769	2.825	2.834	2.715	-1.28%
2016年8月	2.805	2.850	2.850	2.620	0.00%
2016年7月	2.805	2.871	2.888	2.798	-2.43%
2016年6月	2.875	2.997	3.040	2.825	-4.01%
2016年5月	2.995	3.000	3.017	2.909	1.66%
2016年4月	2.946	2.910	3.030	2.873	2.08%
2016年3月	2.886	2.905	2.963	2.872	-0.79%
2016年2月	2.909	2.920	2.950	2.830	0.00%
2016年1月	2.909	2.850	2.940	2.754	1.64%
2015年12月	2.862	3.088	3.100	2.828	-7.32%
2015年11月	3.088	3.100	3.257	3.084	0.03%
2015年10月	3.087	3.300	3.300	3.000	-5.77%
2015年9月	3.276	3.407	3.407	3.272	-3.48%
2015年8月	3.394	3.530	3.573	3.378	-2.30%
2015年7月	3.474	3.638	3.653	3.443	-4.27%
2015年6月	3.629	3.650	3.676	3.580	1.06%
2015年5月	3.591	3.430	3.608	3.385	4.94%
2015年4月	3.422	3.620	3.750	3.413	-5.55%
2015年3月	3.623	3.400	3.650	3.340	7.22%
2015年2月	3.379	3.530	3.540	3.335	-3.84%
2015年1月	3.514	3.700	3.700	3.448	-3.67%
2014年12月	3.648	3.550	3.850	3.533	2.88%
2014年11月	3.546	3.800	3.800	3.483	-6.34%
2014年10月	3.786	4.030	4.100	3.760	-6.01%
2014年9月	4.028	4.300	4.380	4.024	-5.18%
