,date,pe,close
1,1999/1/29,34.04,1134.67
2,1999/2/1,33.62,1120.53
3,1999/2/2,33.79,1126.4
4,1999/2/3,33.51,1116.86
5,1999/2/4,33.1,1103.5
6,1999/2/5,32.44,1081.44
7,1999/2/8,31.97,1065.82
8,1999/2/9,33.45,1090.09
9,1999/3/1,33.69,1097.97
10,1999/3/2,33.78,1100.92
11,1999/3/3,34.64,1128.74
12,1999/3/4,34.64,1128.95
13,1999/3/5,34.75,1132.36
14,1999/3/8,35.05,1142.11
15,1999/3/9,34.89,1136.94
16,1999/3/10,34.76,1132.74
17,1999/3/11,35.29,1149.93
18,1999/3/12,35.56,1158.7
19,1999/3/15,35.74,1164.64
20,1999/3/16,35.81,1166.93
21,1999/3/17,35.57,1159.1
22,1999/3/18,35.35,1151.99
23,1999/3/19,35.99,1172.92
24,1999/3/22,35.99,1172.74
25,1999/3/23,35.93,1170.95
26,1999/3/24,35.87,1169.03
27,1999/3/25,35.5,1156.85
28,1999/3/26,35.63,1161.12
29,1999/3/29,35.89,1169.49
30,1999/3/30,35.52,1157.51
31,1999/3/31,34.27,1158.05
32,1999/4/1,34.58,1168.5
33,1999/4/2,35.05,1184.4
34,1999/4/5,35.35,1194.47
35,1999/4/6,35.5,1199.6
36,1999/4/7,35.56,1201.63
37,1999/4/8,35.58,1202.47
38,1999/4/9,35.66,1205.14
39,1999/4/12,35.37,1195.34
40,1999/4/13,34.87,1178.19
41,1999/4/14,34.96,1181.52
42,1999/4/15,34.64,1170.62
43,1999/4/16,34.51,1166.24
44,1999/4/19,34.31,1159.47
45,1999/4/20,34.67,1171.6
46,1999/4/21,33.86,1144.06
47,1999/4/22,33.65,1137.16
48,1999/4/23,33.74,1140
49,1999/4/26,32.93,1112.79
50,1999/4/27,32.31,1091.69
51,1999/4/28,32.29,1091.09
52,1999/4/29,33.04,1116.41
53,1999/4/30,34.36,1120.93
54,1999/5/4,34.08,1111.76
55,1999/5/5,34.24,1116.93
56,1999/5/6,34.58,1128.22
57,1999/5/7,34.35,1120.74
58,1999/5/10,32.86,1071.93
59,1999/5/11,33.58,1095.4
60,1999/5/12,33.72,1100
61,1999/5/13,33.38,1088.86
62,1999/5/14,32.59,1063.28
63,1999/5/17,32.66,1065.56
64,1999/5/18,32.49,1059.87
65,1999/5/19,34,1109.09
66,1999/5/20,35.18,1147.71
67,1999/5/21,35.82,1168.72
68,1999/5/24,37.2,1213.65
69,1999/5/25,36.87,1202.89
70,1999/5/26,37.89,1236.05
71,1999/5/27,39.33,1283.02
72,1999/5/28,39.15,1277.15
73,1999/5/31,35.38,1279.33
74,1999/6/1,36.27,1311.59
75,1999/6/2,35.62,1287.93
76,1999/6/3,35.08,1268.32
77,1999/6/4,35.55,1285.58
78,1999/6/7,36.69,1326.52
79,1999/6/8,36.88,1333.64
80,1999/6/9,37.3,1348.61
81,1999/6/10,37.73,1364.34
82,1999/6/11,37.9,1370.39
83,1999/6/14,39.48,1427.71
84,1999/6/15,38.37,1387.59
85,1999/6/16,40.38,1460.17
86,1999/6/17,41.51,1501.01
87,1999/6/18,41.45,1498.92
88,1999/6/21,42.77,1546.41
